LLM,topic,experiment,if_base,稳态轮次,达成共识轮次,共识观点,末轮观点分布,ave_opinion,agent1_posi,agent1_negi,agent1_poss,agent1_negs,agent2_posi,agent2_negi,agent2_poss,agent2_negs,agent3_posi,agent3_negi,agent3_poss,agent3_negs,agent4_posi,agent4_negi,agent4_poss,agent4_negs,agent5_posi,agent5_negi,agent5_poss,agent5_negs,agent6_posi,agent6_negi,agent6_poss,agent6_negs,rumor,truth,ave_Ip,ave_In,ave_Sp,ave_Sn,max_Ip,max_In,max_Sp,max_Sn
DeepSeek-V3.2,4,18,0,10,11,FALSE,polar,0.666666667,0.170116132,0.587232245,-1.468080612,-0.833333333,0.821049217,0,-0.833333333,0,1.875454951,0,0,0,0,1.551741299,0,0,0.650933085,0,-2.194262388,-2.317664299,0.379841934,0.293616122,-0.694444444,0,4,3,0.649565886,0.405431611,-0.86502013,-0.525166272,1.875454951,1.551741299,0,0
DeepSeek-V3.2,4,19,0,8,8,1,consistent,1,0.568944169,0,-1.713944869,-1.22340051,0.391947568,1.217477912,-0.707986406,-0.833333333,0.830327828,0,-0.833333333,0,0.536711705,0.833333333,-1.761696734,0,1.957277284,0,0,0,0.43925904,0.40780017,-0.491657227,-0.401877572,4,5,0.787411266,0.409768569,-0.918103095,-0.409768569,1.957277284,1.217477912,0,0
DeepSeek-V3.2,4,20,0,2,11,FALSE,polar,0.666666667,0,0,-0.694444444,0,0.173611111,0,-0.833333333,0,0.173611111,0,-0.833333333,0,0,0,0,0,0.173611111,0,-0.833333333,0,2.673611111,0,0,0,4,6,0.532407407,0,-0.532407407,0,2.673611111,0,0,0
DeepSeek-V3.2,4,21,0,10,11,FALSE,polar,0.666666667,1.452081277,0,0,0,0.897473046,0,-1.22340051,-0.694444444,0.393386725,0.254875106,-0.707986406,-0.401877572,0.40780017,0.481181413,-1.809509241,-1.852833758,0,1.634976272,0,0,0.393386725,0.388834297,-0.707986406,-0.482253086,5,1,0.590687991,0.459977848,-0.741480427,-0.571901477,1.452081277,1.634976272,0,0
DeepSeek-V3.2,4,22,0,5,11,FALSE,polar,0.666666667,0.212395922,0,-0.833333333,0,3.022864628,0,0,0,0.212395922,0,-0.833333333,0,0.212395922,0,-0.833333333,0,0,1.019500425,0,0,0,0,-1.682917021,-1.019500425,5,2,0.610008732,0.169916737,-0.697152837,-0.169916737,3.022864628,1.019500425,0,0
DeepSeek-V3.2,4,23,0,7,11,FALSE,polar,0.666666667,0.589324513,0,-0.833333333,0,0.305850127,0.347222222,-2.058069284,-1.682917021,2.25599118,0,0,0,0.589324513,0,-0.833333333,0,0,1.188680733,0,0,0.178611485,0,-1.22340051,-0.694444444,5,3,0.653183636,0.255983826,-0.82468941,-0.396226911,2.25599118,1.188680733,0,0
DeepSeek-V3.2,4,24,0,7,11,FALSE,polar,0.666666667,0,0,-1.813389182,-1.54131974,0.458155129,0,-0.833333333,0,0.458155129,0,-0.833333333,0,2.124821796,0,0,0,0,0.77065987,0,0,0.226673648,0,-0.694444444,0,5,4,0.544634284,0.128443312,-0.695750049,-0.256886623,2.124821796,0.77065987,0,0
DeepSeek-V3.2,4,25,0,4,11,FALSE,polar,0.333333333,0.829193679,0.419451603,-0.578703704,0,0.778712056,0.836582426,-1.468080612,-2.056733843,0.244680102,0.594223105,-1.019500425,-0.694444444,0.829193679,0.349543003,-2.056733843,-1.468080612,0,1.428020594,0,0,1.779892299,0,0,0,5,6,0.743611969,0.604636789,-0.853836431,-0.703209817,1.779892299,1.428020594,0,0
DeepSeek-V3.2,4,26,0,3,11,FALSE,polar,0.666666667,2.644675926,0,0,0,0.144675926,0,-0.833333333,0,0.144675926,0,-0.833333333,0,0.144675926,0,-0.833333333,0,0,0,-0.578703704,0,0,0,0,0,6,1,0.513117284,0,-0.513117284,0,2.644675926,0,0,0
DeepSeek-V3.2,4,27,0,2,11,FALSE,polar,0.666666667,0,0,-1.468080612,-0.833333333,2.355020045,0,0,0,0,0,-1.468080612,-0.833333333,1.521686712,0,-0.833333333,0,0.587232245,0,-0.694444444,0,0,1.666666667,0,0,6,2,0.743989834,0.277777778,-0.743989834,-0.277777778,2.355020045,1.666666667,0,0
DeepSeek-V3.2,4,28,0,2,11,FALSE,polar,0.333333333,1.468080612,0,-0.833333333,0,0,0,-1.468080612,-0.833333333,2.301413945,0,0,0,0,0,-1.468080612,-0.833333333,0,0,0,-0.833333333,0,2.5,0,0,6,3,0.628249093,0.416666667,-0.628249093,-0.416666667,2.301413945,2.5,0,0
DeepSeek-V3.2,4,29,0,2,11,FALSE,-1_0_1,0.166666667,0,0,-0.833333333,0,0,0,0,-0.694444444,0,0,-0.833333333,0,1.666666667,0,0,0,0,0,0,0,0,0.694444444,0,0,6,4,0.277777778,0.115740741,-0.277777778,-0.115740741,1.666666667,0.694444444,0,0
DeepSeek-V3.2,4,30,0,4,11,FALSE,polar,0.666666667,0.950957496,0,-0.833333333,0,0.650933085,0,-1.852833758,-1.22340051,0,0,-2.487581037,-2.056733843,0.614613113,0,-0.694444444,0,2.031040758,0,0,0,0,2.251767432,0,0,6,5,0.707924075,0.375294572,-0.978032095,-0.546689059,2.031040758,2.251767432,0,0
DeepSeek-V3.2,5,-4,1,3,11,FALSE,polar,0.666666667,0.144675926,0,-0.833333333,0,0,0,0,0,0.144675926,0,-0.833333333,0,0,0,-0.578703704,0,0.144675926,0,-0.833333333,0,2.644675926,0,0,0,2,6,0.513117284,0,-0.513117284,0,2.644675926,0,0,0
DeepSeek-V3.2,5,-3,1,5,5,1,consistent,1,1.328294488,0,0,0,0.687456143,0,-0.694444444,0,0.494554908,0,-0.578703704,0,0.373991637,0,-0.482253086,0,0.293616122,0,-0.401877572,0,0.741062243,0,-1.761696734,0,6,1,0.65316259,0,-0.65316259,0,1.328294488,0,0,0
DeepSeek-V3.2,5,-2,1,8,11,FALSE,polar,-0.333333333,0,0.093027216,0,-0.833333333,0.232568039,0,0,0,0,0.093027216,0,-0.833333333,0,0,0,-0.279081647,0,0,-0.232568039,0,0,1.759693882,0,0,6,2,0.03876134,0.324291386,-0.03876134,-0.324291386,0.232568039,1.759693882,0,0
DeepSeek-V3.2,5,-1,1,5,11,FALSE,polar,0.666666667,0.100469393,0,-0.694444444,0,0,0,-0.401877572,0,1.628247171,0,0,0,0.794913837,0,-0.833333333,0,0.100469393,0,-0.694444444,0,0,0,0,0,6,3,0.437349966,0,-0.437349966,0,1.628247171,0,0,0
DeepSeek-V3.2,5,0,1,5,11,FALSE,polar,0.666666667,0.100469393,0,-0.578703704,0,0,0,-0.401877572,0,0.293370628,0,-0.833333333,0,1.960037294,0,0,0,0.293370628,0,-0.833333333,0,0,0,0,0,6,4,0.44120799,0,-0.44120799,0,1.960037294,0,0,0
DeepSeek-V3.2,5,1,0,1,11,FALSE,polar,0.666666667,0,0,0,0,3.333333333,0,0,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,0,0,-0.833333333,0,1,2,0.555555556,0,-0.555555556,0,3.333333333,0,0,0
DeepSeek-V3.2,5,2,0,2,11,FALSE,polar,0.666666667,0,0,0,0,0.173611111,0,-0.833333333,0,2.673611111,0,0,0,0.173611111,0,-0.833333333,0,0,0,-0.694444444,0,0.173611111,0,-0.833333333,0,1,3,0.532407407,0,-0.532407407,0,2.673611111,0,0,0
